tweet_id,retweets,favorites
856282028240666624,6404,27748
855862651834028034,26,345
855860136149123072,1040,5013
855857698524602368,2141,11890
855851453814013952,18008,45662
855818117272018944,5523,26704
855459453768019968,8340,29990
855245323840757760,6078,0
855138241867124737,46,0
854732716440526848,6215,22971
854482394044301312,7000,29491
854365224396361728,4777,19021
854120357044912130,7635,32215
854010172552949760,3216,16304
853760880890318849,5900,28820
853639147608842240,10374,35121
853299958564483072,3641,15662
852936405516943360,2060,0
852912242202992640,1885,9163
852672615818899456,2208,15094
852553447878664193,3602,16525
852311364735569921,10155,33531
852226086759018497,6981,20257
852189679701164033,1627,11604
851953902622658560,9917,0
851861385021730816,22,0
851591660324737024,3567,16457
851464819735769094,7286,24609
851224888060895234,5899,20990
850753642995093505,9543,31452
850380195714523136,2699,13290
850333567704068097,347,3497
850145622816686080,3940,16606
850019790995546112,5048,20802
849776966551130114,7858,31027
849668094696017920,5114,0
849412302885593088,3250,16179
849336543269576704,1957,11618
849051919805034497,8800,43249
848690551926992896,4471,25699
848324959059550208,4761,25253
848213670039564288,774,8346
848212111729840128,3177,16677
847978865427394560,3373,0
847971574464610304,442,0
847962785489326080,5279,24013
847842811428974592,1381,5571
847617282490613760,441,7138
847606175596138505,3536,19184
847251039262605312,4452,20912
847157206088847362,6079,20379
847116187444137987,3314,21900
846874817362120707,4077,20536
846514051647705089,12061,45692
846505985330044928,3194,14445
846153765933735936,9444,32446
846139713627017216,10320,31674
846042936437604353,3006,16384
845812042753855489,9099,30010
845677943972139009,4971,25791
845397057150107648,1880,7828
845306882940190720,5620,23940
845098359547420673,7982,0
844979544864018432,2680,13964
844973813909606400,3350,15502
844580511645339650,3277,16929
844223788422217728,2295,13997
843981021012017153,3059,15559
843856843873095681,4839,22019
843604394117681152,2882,17354
843235543001513987,6318,22124
842846295480000512,3777,15654
842765311967449089,1337,6947
842535590457499648,3667,18603
842163532590374912,6078,25180
842115215311396866,3180,14405
841833993020538882,16025,0
841680585030541313,8128,26412
841439858740625411,3858,13003
841320156043304961,5718,20373
841314665196081154,4907,16299
841077006473256960,5558,23557
840761248237133825,1843,0
840728873075638272,16942,0
840698636975636481,2,181
840696689258311684,1031,12666
840632337062862849,1843,9249
840370681858686976,4774,16979
840268004936019968,6014,19875
839990271299457024,2407,13829
839549326359670784,8169,28374
839290600511926273,148,0
839239871831150596,6874,28087
838952994649550848,4183,20262
838921590096166913,2175,11529
838916489579200512,36,0
838831947270979586,11621,0
838561493054533637,1392,11289
838476387338051585,5055,23307
838201503651401729,10608,0
838150277551247360,352,1739
838085839343206401,1,146
838083903487373313,3326,18198
837820167694528512,8273,35337
837482249356513284,464,3967
837471256429613056,2400,13220
837366284874571778,5586,21884
837110210464448512,2508,16583
836989968035819520,2420,13152
836753516572119041,4865,19934
836677758902222849,2343,13041
836648853927522308,574,0
836397794269200385,29212,0
836380477523124226,3136,15264
836260088725786625,4518,22009
836001077879255040,4519,19763
835685285446955009,8589,0
835574547218894849,3819,18428
835536468978302976,1799,0
835309094223372289,22185,0
835297930240217089,3169,17015
835264098648616962,1799,7996
835246439529840640,77,2175
835172783151792128,6066,27068
835152434251116546,3193,23266
834931633769889797,1743,11210
834786237630337024,5823,21980
834574053763584002,2678,14164
834477809192075265,11289,0
834458053273591808,1776,9973
834209720923721728,5048,21348
834167344700198914,3851,16354
834089966724603904,2250,10411
834086379323871233,2343,13539
833863086058651648,2532,13907
833826103416520705,3946,18674
833732339549220864,227,0
833722901757046785,3400,21506
833479644947025920,2180,15392
833124694597443584,5114,20972
832998151111966721,2345,13780
832769181346996225,39,0
832757312314028032,3833,17456
832682457690300417,3100,12324
832645525019123713,550,3036
832636094638288896,2944,16439
832397543355072512,2352,12378
832369877331693569,3373,17828
832273440279240704,2464,11742
832215909146226688,6565,0
832215726631055365,9934,0
832088576586297345,2,68
832040443403784192,10276,0
832032802820481025,4933,18527
831939777352105988,6497,24908
831926988323639298,35,354
